[2026-07-06T00:58:28.806Z] GET http://localhost:5173/node_modules/.vite/deps/clsx.js?v=b6b7d5c4 → pending (?ms, ?B)
[2026-07-06T00:58:28.806Z] GET http://localhost:5173/node_modules/.vite/deps/tailwind-merge.js?v=b6b7d5c4 → pending (?ms, ?B)
[2026-07-06T00:58:28.808Z] GET http://localhost:5173/src/components/ui/Badge.tsx → pending (?ms, ?B)
[2026-07-06T00:58:30.472Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYY.woff2 → 200 (351ms, 46263B)
[2026-07-06T01:02:56.111Z] GET http://localhost:5173/src/pages/Login.tsx?t=1783299776079 → 200 (124ms, 12629B)
[2026-07-06T01:02:56.111Z] GET http://localhost:5173/src/index.css?t=1783299776079 → 200 (119ms, 47320B)
[2026-07-06T01:03:00.611Z] GET http://localhost:5173/src/pages/Login.tsx?t=1783299780611 → pending (?ms, ?B)
[2026-07-06T01:03:00.611Z] GET http://localhost:5173/src/index.css?t=1783299780611 → pending (?ms, ?B)
[2026-07-06T01:03:03.920Z] GET blob:http://localhost:5173/a871238f-6f43-475c-aa08-93907d018216 → pending (?ms, ?B)
[2026-07-06T01:04:24.120Z] GET http://localhost:5173/login → pending (?ms, ?B)
[2026-07-06T01:04:44.043Z] GET http://localhost:5173/login → 200 (29ms, 1000B)
[2026-07-06T01:04:44.120Z] GET http://localhost:5173/@vite/client → pending (?ms, ?B)
[2026-07-06T01:04:44.121Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono:wght@400;500;600;700&family=IBM+Plex+Sans:wght@400;500;600;700&family=IBM+Plex+Sans+Arabic:wght@400;500;600;700&display=swap → 200 (3ms, -698B)
[2026-07-06T01:04:44.122Z] GET http://localhost:5173/src/main.tsx → 200 (217ms, ?B)
[2026-07-06T01:04:44.126Z] GET http://localhost:5173/@react-refresh → pending (?ms, ?B)
[2026-07-06T01:04:44.339Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=b6b7d5c4 → 200 (6ms, -264B)
[2026-07-06T01:04:44.340Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=b6b7d5c4 → 200 (35ms, -266B)
[2026-07-06T01:04:44.340Z] GET http://localhost:5173/src/index.css → pending (?ms, ?B)
[2026-07-06T01:04:44.340Z] GET http://localhost:5173/src/App.tsx → pending (?ms, ?B)
[2026-07-06T01:04:44.340Z] GET http://localhost:5173/src/i18n/config.ts → pending (?ms, ?B)
[2026-07-06T01:04:44.341Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=b6b7d5c4 → 200 (9ms, -263B)
[2026-07-06T01:04:44.346Z] GET http://localhost:5173/node_modules/.vite/deps/rolldown-runtime-B-1-B7_t.js?v=b6b7d5c4 → 200 (5ms, -261B)
[2026-07-06T01:04:44.375Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=b6b7d5c4 → 200 (3ms, -263B)
[2026-07-06T01:04:44.559Z] GET http://localhost:5173/node_modules/.vite/deps/i18next.js?v=b6b7d5c4 → 200 (4ms, -265B)
[2026-07-06T01:04:44.559Z] GET http://localhost:5173/node_modules/.vite/deps/react-i18next.js?v=b6b7d5c4 → 200 (5ms, -264B)
[2026-07-06T01:04:44.565Z] GET http://localhost:5173/node_modules/.vite/deps/shim-DO6Qh8OF.js?v=b6b7d5c4 → 200 (2ms, -262B)
